iter	TotalF1	MultiClass
201	0.9495863875	0.1716054169
202	0.9496406521	0.1714370356
203	0.9496330328	0.1713210928
204	0.9496252223	0.1712355512
205	0.9496236779	0.1711529809
206	0.9496244822	0.1711507295
207	0.9496265245	0.1710797119
208	0.9496362967	0.1709500876
209	0.9496592384	0.1707496312
210	0.9496795314	0.1706301685
211	0.949677957	0.1706261695
212	0.9496903013	0.1705052373
213	0.9496946776	0.1704716598
214	0.9497252517	0.1704073493
215	0.9497089247	0.1702859118
216	0.9497089247	0.1702859088
217	0.9496978633	0.1702419579
218	0.9497076456	0.1702383489
219	0.9497043913	0.1702216723
220	0.9497391548	0.1700754343
221	0.9497448516	0.1700731361
222	0.949751214	0.1699632875
223	0.9497641555	0.1699485484
224	0.9497608717	0.1699144141
225	0.9497665949	0.1699080443
226	0.9497820908	0.1697125233
227	0.9497820908	0.1697121381
228	0.9498423892	0.1695837779
229	0.9498733943	0.1694998174
230	0.9498602678	0.1693972643
231	0.949904806	0.16931226
232	0.9499169404	0.1693101986
233	0.949932801	0.1692088149
234	0.949930366	0.1692050359
235	0.9499482157	0.1690988244
236	0.9499786302	0.1689793899
237	0.9500303841	0.1688551903
238	0.9500301301	0.168677419
239	0.9500557744	0.1686439458
240	0.9500898692	0.1684932362
241	0.950089862	0.1684926525
242	0.9500905261	0.1684725387
243	0.9501171364	0.1683761527
244	0.9501187669	0.1683734319
245	0.9501236368	0.1683712435
246	0.9500984301	0.1682554622
247	0.950110788	0.1681134296
248	0.9501323491	0.1679368796
249	0.9501161814	0.1679355487
250	0.9501417775	0.1678586516
251	0.9501194279	0.1677979092
252	0.95012187	0.1677931338
253	0.9501226816	0.1677931314
254	0.9501528993	0.1677061731
255	0.9501569503	0.1676994199
256	0.9501776627	0.1676082696
257	0.9502159382	0.1674565608
258	0.9502168202	0.1674010732
259	0.9502148802	0.1673231201
260	0.9502124525	0.1672803908
261	0.9502192933	0.1672190708
262	0.950236353	0.1670640389
263	0.950236353	0.1670640112
264	0.9502253412	0.1670589242
265	0.9502318798	0.166940294
266	0.9502562319	0.1668879292
267	0.9502839631	0.1667194334
268	0.95031089	0.1666289773
269	0.9503395615	0.1664324396
270	0.9503488514	0.1662844434
271	0.9503401539	0.1661962899
272	0.9503450374	0.1661006944
273	0.9503945381	0.166010758
274	0.9503914925	0.1659262209
275	0.9504196862	0.1657983626
276	0.9504171548	0.165711041
277	0.9504628886	0.1655781456
278	0.9504966826	0.1655144039
279	0.9504816654	0.1654889946
280	0.9505096721	0.1653406735
281	0.9504894065	0.1652385449
282	0.9505010013	0.1650956697
283	0.95049942	0.1650102503
284	0.9504987565	0.1649254247
285	0.9505488311	0.1648169274
286	0.9505734186	0.164693126
287	0.9505959575	0.1645772468
288	0.9505895789	0.1644532651
289	0.9506227978	0.1644046758
290	0.9506516202	0.1642974011
291	0.950659381	0.1641731443
292	0.9506704157	0.1640592166
293	0.950651342	0.1639632857
294	0.9506742474	0.1638639464
295	0.9506849777	0.1637364058
296	0.9507278575	0.1636637921
297	0.9507383273	0.1635309135
298	0.9507440577	0.1634025569
299	0.9507023762	0.1632935989
300	0.9507198576	0.1631890996
301	0.9507222935	0.1630847583
302	0.9507427578	0.1629379155
303	0.95077185	0.1628126425
304	0.950778811	0.1626974498
305	0.950769154	0.1626065639
306	0.9507917929	0.1625664819
307	0.9508206251	0.1624989118
308	0.9508153803	0.1623875517
309	0.950823523	0.1622757773
310	0.9508415226	0.1621635661
311	0.9508660499	0.1620740947
312	0.9508716864	0.1620155594
313	0.9508740845	0.1620101208
314	0.9509025257	0.1619285429
315	0.9509223419	0.1618980783
316	0.9509498276	0.1618418871
317	0.9509498347	0.161834996
318	0.9509743829	0.1617562567
319	0.9509726536	0.1617046291
320	0.9509742474	0.1616452672
321	0.9509711517	0.1615718837
322	0.9509609662	0.1615268995
323	0.9509731293	0.1614625842
324	0.9509822913	0.1613538139
325	0.9509839141	0.1612810781
326	0.9509900933	0.1612079312
327	0.9509885068	0.1611861549
328	0.9510147835	0.16101533
329	0.9510178286	0.1609574571
330	0.9510207618	0.1609462348
331	0.951028847	0.1608858449
332	0.95104526	0.1607935828
333	0.9510817882	0.1607090078
334	0.9510869266	0.1606351141
335	0.9510852968	0.160558289
336	0.9510840436	0.1604501061
337	0.9511023571	0.1604110343
338	0.9511118303	0.1603174947
339	0.9511222118	0.1602412439
340	0.9511218929	0.160131429
341	0.9511332379	0.1601121597
342	0.9511372657	0.1600936594
343	0.9511238839	0.1600276704
344	0.951161642	0.1599603916
345	0.9511592081	0.159908498
346	0.9511624605	0.1598364502
347	0.9511584389	0.1597571673
348	0.9511812508	0.15972399
349	0.9512087117	0.159576187
350	0.951213559	0.1595235389
351	0.9512075654	0.1594562815
352	0.951193422	0.1593811959
353	0.9512236239	0.1592626219
354	0.951233352	0.1592010571
355	0.9512451462	0.1591244749
356	0.9512349803	0.1590593917
357	0.9512277483	0.1590123683
358	0.9512327676	0.1589283332
359	0.9512695134	0.1588772815
360	0.9512832504	0.1588208567
361	0.9513104628	0.1587507156
362	0.9512992364	0.1586649729
363	0.9513140262	0.1585989378
364	0.9513343161	0.1585358086
365	0.9513667136	0.1584561566
366	0.9513739733	0.1584219026
367	0.951382122	0.1583517014
368	0.9513850499	0.1582857903
369	0.9513960757	0.1582338379
370	0.9514281292	0.1581374347
371	0.9514184429	0.158087414
372	0.9514416384	0.1579335603
373	0.9514832085	0.157824082
374	0.9514710451	0.1577661768
375	0.9514870527	0.1576420999
376	0.9514975432	0.1575830323
377	0.9515083582	0.1575207743
378	0.9515070788	0.1574468639
379	0.9515012637	0.1574396664
380	0.9515328406	0.1573416886
381	0.9515385047	0.1572708337
382	0.9515373991	0.1572196582
383	0.9515344846	0.1571671231
384	0.9515586629	0.1570395691
385	0.9515916992	0.1569637914
386	0.9516108544	0.1569270203
387	0.9515771774	0.1568496806
388	0.9516059011	0.1567948177
389	0.9516075522	0.1567299466
390	0.9516256046	0.1566201028
391	0.951678721	0.1564910561
392	0.9516828127	0.1563831161
393	0.9517032443	0.1563548532
394	0.951701444	0.1562809513
395	0.9516963919	0.1562162805
396	0.9517099889	0.1560784995
397	0.9516815742	0.1560116981
398	0.9516912749	0.1559273108
399	0.9517134966	0.1558536685
400	0.9516934325	0.1557809223
401	0.9517495897	0.1557430488
402	0.9517485167	0.1556262352
403	0.9517437315	0.1554808272
404	0.9517811415	0.1553959786
405	0.9517402292	0.1553225714
406	0.9517722962	0.1552754388
407	0.9517935296	0.1552278335
408	0.9518346727	0.1551507551
409	0.95181395	0.155086364
410	0.9518257683	0.1549973465
411	0.9518644964	0.1549158993
412	0.9518845811	0.1548374913
413	0.9518868299	0.1547658909
414	0.9518994809	0.1547234702
415	0.951911635	0.1546546046
416	0.9519341856	0.1546145514
417	0.9519396985	0.1545571644
418	0.9519317963	0.1544954044
419	0.9519895615	0.1543475205
420	0.9520252053	0.1542717072
421	0.9519949168	0.1541431904
422	0.9520120295	0.1540948996
423	0.9520282186	0.1540285868
424	0.9520685784	0.1539738121
425	0.9520858278	0.1539173199
426	0.9520818187	0.1538820166
427	0.9521087018	0.1538174666
428	0.9521038604	0.1537761876
429	0.9521160237	0.1536705005
430	0.9521265693	0.1536471213
431	0.9521607608	0.1535837059
432	0.9521479243	0.1535349093
433	0.9521568896	0.1534693284
434	0.9521528337	0.1533844891
435	0.9521544749	0.1533253501
436	0.9521610066	0.1532612714
437	0.9521829108	0.1531904525
438	0.9521886849	0.1531174468
439	0.9521878807	0.1530938688
440	0.952225064	0.1529931378
441	0.9522516394	0.1529462652
442	0.952250017	0.1529000896
443	0.9522699514	0.1528584318
444	0.9522707696	0.1527568428
445	0.9522571801	0.1526723396
446	0.9522706692	0.1526023086
447	0.9522865132	0.1525435546
448	0.952299749	0.1524937071
449	0.9523197444	0.1523943914
450	0.9523108398	0.1523592442
451	0.9523169613	0.1523103998
452	0.9523177724	0.1522546399
453	0.9523102942	0.1522048405
454	0.9523070934	0.1521845298
455	0.9523434499	0.1521135667
456	0.9523831086	0.1520461342
457	0.9523779376	0.1519823607
458	0.9523916779	0.1519533141
459	0.9523837445	0.1519101778
460	0.9524144185	0.1518102676
461	0.9523993182	0.1517283659
462	0.9524198714	0.1516503389
463	0.9524551506	0.1515412199
464	0.9524624721	0.1515205564
465	0.95245218	0.1514252319
466	0.9524562315	0.1513467515
467	0.9524447638	0.1512751834
468	0.9524358909	0.1512003668
469	0.9524578298	0.1511558408
470	0.9524497638	0.1511108209
471	0.9524473303	0.151060648
472	0.952512597	0.1509749598
473	0.9525148621	0.1509492075
474	0.9525179888	0.1509187975
475	0.9525680739	0.1508857336
476	0.9525810168	0.1508299423
477	0.9526025129	0.150773975
478	0.9526200469	0.1506669198
479	0.9526311203	0.1506103164
480	0.9526147394	0.1505660599
481	0.9526302705	0.1505259187
482	0.9526253896	0.1504342614
483	0.9526278369	0.1503792634
484	0.9526367489	0.1502755199
485	0.9526278189	0.1501987061
486	0.9526571608	0.1501149507
487	0.9526579445	0.150077745
488	0.9526539202	0.1500289594
489	0.9526539488	0.1499780566
490	0.9526401562	0.1499252226
491	0.9526603995	0.1498530082
492	0.9526612313	0.1497849126
493	0.9526449654	0.1496882943
494	0.9526950391	0.1496202241
495	0.9526934548	0.1495756646
496	0.9526879593	0.1494814803
497	0.9527190516	0.1493880969
498	0.9527266543	0.1493372599
499	0.9527282835	0.149320811
500	0.9527226436	0.1492311705
501	0.9527595484	0.14910849
502	0.9527579123	0.1490108907
503	0.9527595552	0.1489530708
504	0.9527563897	0.1488787824
505	0.952765	0.148837928
506	0.9527675982	0.1487840254
507	0.9527708497	0.1487348008
508	0.9527684025	0.1486534529
509	0.9527503729	0.1485820467
510	0.952757649	0.1485508271
511	0.9527638164	0.1484877147
512	0.9527744303	0.1484133631
513	0.9527719968	0.1483776492
514	0.9527869064	0.1483351722
515	0.9528194676	0.1482695316
516	0.9528136289	0.1482108295
517	0.9528168081	0.1481623117
518	0.9528174585	0.1481210897
519	0.9528560509	0.1480552792
520	0.9528343552	0.1480254179
521	0.9528559202	0.1479844983
522	0.9528619635	0.147942169
523	0.9528949778	0.1478872176
524	0.9529028453	0.147756167
525	0.9529172704	0.147705381
526	0.9529098664	0.1476348809
527	0.9529091201	0.1475841874
528	0.9528972926	0.1475469773
529	0.9529228931	0.1474928026
530	0.9529408664	0.1474415228
531	0.9529417253	0.1473757659
532	0.9529529196	0.1473063342
533	0.9529524624	0.1472143648
534	0.9529451686	0.1471611371
535	0.9529661976	0.147133222
536	0.9530127264	0.1470506761
537	0.9530125914	0.1469379283
538	0.9530262038	0.1468978829
539	0.95302846	0.1468506538
540	0.9530281438	0.1468097919
541	0.9530281438	0.1467617405
542	0.9530485568	0.1467078657
543	0.9530501997	0.1466375665
544	0.9530501997	0.1465632414
545	0.9530526675	0.14648799
546	0.9530432594	0.1464475265
547	0.953047006	0.1463439642
548	0.9531019751	0.1462495575
549	0.9531206063	0.1462045344
550	0.9531262708	0.1461645142
551	0.9531300239	0.1461181758
552	0.9531283879	0.1460243463
553	0.953108291	0.1459743371
554	0.9531206157	0.1459345068
555	0.9531446453	0.1458763973
556	0.9531407351	0.1458303223
557	0.9531435361	0.1457692363
558	0.9531744991	0.1457405225
559	0.953162678	0.1456611113
560	0.953187448	0.145604556
561	0.9532219198	0.1454917124
562	0.9532100924	0.1454229039
563	0.9532075358	0.1453862574
564	0.9532059568	0.1452670477
565	0.953228797	0.1452356906
566	0.9532664107	0.1451731743
567	0.9532692837	0.1451134138
568	0.9532660663	0.1450654229
569	0.95325052	0.1450351864
570	0.9532859994	0.1449765627
571	0.953313853	0.1449135975
572	0.9533205424	0.1448508551
573	0.9533148437	0.1447914763
574	0.9533075797	0.1447239851
575	0.9533075865	0.1446625418
576	0.9533044056	0.1445997338
577	0.9532921308	0.1444905108
578	0.9533112163	0.144457315
579	0.9533328007	0.1443406828
580	0.9533576463	0.1442598293
581	0.9533804845	0.1442390792
582	0.9533670273	0.1441785249
583	0.9534123615	0.1441258955
584	0.9534123837	0.144038828
585	0.9534132017	0.1440204154
586	0.9534293942	0.1439584242
587	0.9534078709	0.1439167097
588	0.9534129007	0.1438904397
589	0.9534232811	0.1438418466
590	0.953421652	0.1438173905
591	0.9534372434	0.143734471
592	0.9534733944	0.1436531823
593	0.9534466722	0.1435635862
594	0.9534467147	0.1435370101
595	0.9534518695	0.1435025268
596	0.9535173222	0.1434492434
597	0.9535100505	0.1434095034
598	0.9535168686	0.1433354533
599	0.9535259348	0.1432871051
600	0.9535382321	0.1432332489
601	0.9535461987	0.1431877806
602	0.953548639	0.1431538164
603	0.9535552852	0.1430928106
604	0.9535569007	0.1430543353
605	0.9535821257	0.1429471981
606	0.9535740429	0.1429033884
607	0.9535789166	0.1428346354
608	0.9535708201	0.1427955969
609	0.9535735896	0.1427609417
610	0.9535936739	0.142676671
611	0.9536327039	0.1426141331
612	0.9536615728	0.1425562603
613	0.9536640401	0.1425120827
614	0.9536691953	0.1424590789
615	0.953673821	0.1424264631
616	0.9537569423	0.1423637321
617	0.9537603192	0.1423203637
618	0.9537888718	0.1422705029
619	0.9537726698	0.1422221138
620	0.9538157817	0.1421787462
621	0.9537953403	0.1421449428
622	0.9538189854	0.1421019402
623	0.9538293447	0.1420598995
624	0.9538264658	0.1419683949
625	0.9538485425	0.1419251811
626	0.9538550793	0.1418633868
627	0.953862893	0.1418070415
628	0.9538437365	0.1417797811
629	0.9538795416	0.1417344426
630	0.9538769586	0.1417049799
631	0.9538790894	0.1416485096
632	0.9538708551	0.1415778263
633	0.9538533683	0.1414763688
634	0.9538763741	0.1414184384
635	0.9538834649	0.1413697591
636	0.9538990198	0.1413084451
637	0.9539259839	0.1412372894
638	0.9539284309	0.141168505
639	0.953975782	0.1411306993
640	0.9539481983	0.1410571814
641	0.9539600408	0.1409940776
642	0.9539697749	0.1409539159
643	0.9539595614	0.1409066528
644	0.9539984553	0.1408293721
645	0.954008197	0.1407768906
646	0.9540082229	0.1407046183
647	0.9540422534	0.1406336202
648	0.9540291227	0.1405712066
649	0.9540203701	0.1405252138
650	0.9540203825	0.1404898385
651	0.9540203959	0.1404346203
652	0.9540236338	0.1403828553
653	0.9540500518	0.1402974857
654	0.9540451581	0.1401902346
655	0.9540795318	0.1401155996
656	0.9540897261	0.1400750324
657	0.9540837184	0.1400447507
658	0.9540877621	0.1399923792
659	0.9540983324	0.1398705808
660	0.9541007859	0.1398186069
661	0.9541158942	0.1397644323
662	0.9541115085	0.1396866122
663	0.9541216976	0.1396111355
664	0.9541247981	0.139572301
665	0.9541471614	0.1395324131
666	0.9541557525	0.1394504126
667	0.9541758715	0.1393941106
668	0.9541630863	0.1393527842
669	0.9542014542	0.1392488016
670	0.9541935361	0.1392073422
671	0.9542042313	0.1391066769
672	0.9542282367	0.1390586893
673	0.9542289243	0.139010542
674	0.9542273137	0.1389397854
675	0.9542256914	0.1389188298
676	0.9542465947	0.1388579763
677	0.9542603407	0.1387830264
678	0.9542741186	0.1387333611
679	0.9542977993	0.1386837472
680	0.9542733459	0.1386120647
681	0.9543018933	0.1385869831
682	0.9543279628	0.1385552882
683	0.9543040269	0.1384797919
684	0.9543097449	0.1384266138
685	0.9543304994	0.1383751874
686	0.9543247215	0.1383013298
687	0.9543392661	0.1382662479
688	0.954327117	0.1382431843
689	0.954350586	0.1381805498
690	0.9543689257	0.1381194791
691	0.954382851	0.1380256518
692	0.9543849208	0.137984612
693	0.9543920225	0.1379111171
694	0.9544067852	0.1378931742
695	0.9544011189	0.1378182404
696	0.9544220418	0.1377826147
697	0.9544500731	0.1376912293
698	0.9544440939	0.1376457142
699	0.954464887	0.1375847268
700	0.9544903129	0.1375322711
701	0.9544981006	0.1374750077
702	0.9545465663	0.1374306115
703	0.9545853417	0.1373611932
704	0.954587461	0.1372920561
705	0.9545689927	0.137255318
706	0.954592997	0.1371967898
707	0.9546250872	0.1371360923
708	0.9546377354	0.1371130643
709	0.9546487876	0.1370476866
710	0.9546267293	0.1369943108
711	0.9546450623	0.1369535474
712	0.9546467798	0.1368857503
713	0.9546737113	0.1367865196
714	0.9546660844	0.1367525461
715	0.9546814646	0.1367126658
716	0.954691176	0.1366618595
717	0.9547360799	0.1365936141
718	0.954731514	0.1365255002
719	0.954754229	0.1364295874
720	0.9547787212	0.136361301
721	0.954764164	0.1363394969
722	0.9547614237	0.1362629319
723	0.9547727931	0.136227992
724	0.9547707255	0.1361689751
725	0.9547707122	0.1360756278
726	0.9548049089	0.1360150035
727	0.9548148181	0.1359739462
728	0.9548321952	0.1359151297
729	0.9548513178	0.1358620886
730	0.9548337962	0.1358122907
731	0.9548375362	0.1357893964
732	0.954869636	0.1357232064
733	0.9548542727	0.1356752403
734	0.9548529598	0.1356556527
735	0.9548401334	0.1356199237
736	0.9548843646	0.1355426096
737	0.9549153315	0.1354602883
738	0.95489203	0.1354398126
739	0.9549605959	0.1354161543
740	0.9549736205	0.1353530459
741	0.9549623118	0.1353128294
742	0.9549500027	0.1352571074
743	0.9549569396	0.1351854756
744	0.9549564643	0.1351244565
745	0.9549590674	0.1350904795
746	0.954917433	0.1350259406
747	0.9549448231	0.1349966552
748	0.9549701361	0.1349365963
749	0.9549893011	0.1348621816
750	0.9549949922	0.1348183325
751	0.9549944933	0.134760979
752	0.9550165489	0.1347047683
753	0.9550491786	0.1346057083
754	0.9550390952	0.1345373465
755	0.9550318024	0.1344991484
756	0.955103088	0.1344303867
757	0.9551165609	0.1343810707
758	0.9551154405	0.134337676
759	0.9551193533	0.1343084752
760	0.9551258622	0.1342329758
761	0.9551151489	0.1342071254
762	0.9551519509	0.1341361773
763	0.95514012	0.1340923256
764	0.9551487194	0.1340214938
765	0.9551454486	0.1339848504
766	0.9551519645	0.1339187424
767	0.95514433	0.1338586182
768	0.9551651099	0.133784481
769	0.955181957	0.1337273809
770	0.9551852342	0.1336769188
771	0.955196267	0.1336467568
772	0.9552045077	0.1336203711
773	0.9551909057	0.1335916643
774	0.9552424795	0.1335339679
775	0.9552690682	0.1334665757
776	0.955294496	0.1333984158
777	0.9552984143	0.1333535046
778	0.9552873947	0.1333089212
779	0.9553050411	0.1332698935
780	0.9553112261	0.1332182304
781	0.9553263534	0.133134574
782	0.9553083509	0.1331020226
783	0.955327469	0.1330314876
784	0.9553556734	0.1329953679
785	0.9553485534	0.1329397031
786	0.955390548	0.1328750214
787	0.9553878141	0.1327936502
788	0.9554021043	0.1327589727
789	0.9554048572	0.1326934058
790	0.9554204125	0.1326345819
791	0.9553941612	0.1325698235
792	0.9554022667	0.1325449798
793	0.9554087368	0.1325146489
794	0.9554205744	0.1324713208
795	0.9554286865	0.132447956
796	0.9554122987	0.1323740276
797	0.9554257845	0.1322802768
798	0.9553982364	0.1322553836
799	0.9554136682	0.1321799254
